image_id,text,category,challenge,note
0,bond,Abstract,Basic,Biology-inspired concepts with multiple meanings
1,element,Abstract,Basic,Biology-inspired concepts with multiple meanings
2,molecule,Abstract,Basic,Biology-inspired concepts with multiple meanings
3,life,Abstract,Basic,Biology-inspired concepts with multiple meanings
4,protein,Abstract,Basic,Biology-inspired concepts with multiple meanings
5,yin-yang,Abstract,Basic,Related to five elements
6,wood,Abstract,Basic,Related to five elements
7,metal,Abstract,Basic,Related to five elements
8,space,Abstract,Basic,Related to five elements
9,air,Abstract,Basic,Related to five elements
10,fire,Abstract,Basic,Related to five elements
11,water,Abstract,Basic,Related to five elements
12,earth,Abstract,Basic,Related to five elements
13,force,Abstract,Basic,Physics concepts
14,motion,Abstract,Basic,Physics concepts
15,inertia,Abstract,Basic,Physics concepts
16,energy,Abstract,Basic,Physics concepts
17,black hole,Abstract,Basic,Physics concepts
18,gravity,Abstract,Basic,Physics concepts
19,peace,Abstract,Basic,
20,fairness,Abstract,Basic,
21,gender,Abstract,Basic,
22,intelligence,Abstract,Basic,
23,bias,Abstract,Basic,
24,hate,Abstract,Basic,
25,anger,Abstract,Basic,
26,emotion,Abstract,Basic,
27,feeling,Abstract,Basic,
28,love,Abstract,Basic,
29,artificial intelligence,Abstract,Basic,
30,meaning of life,Abstract,Basic,
31,42,Abstract,Basic,Simple numbers but challenging
32,0,Abstract,Basic,Simple numbers but challenging
33,infinity,Abstract,Basic,Math concepts
34,imaginary numbers,Abstract,Basic,Math concepts
35,Fibonacci number,Abstract,Basic,Math concepts
36,golden ratio,Abstract,Basic,Math concepts
37,an F1,Vehicles,Basic,
38,parallel lines,Illustrations,Basic,Math concepts
39,concentric circles,Illustrations,Basic,Math concepts
40,concurrent lines,Illustrations,Basic,Math concepts
41,congruent triangles,Illustrations,Basic,Math concepts
42,a hot air balloon,Vehicles,Basic,
43,The Starry Night,Arts,Basic,
44,300,Abstract,Basic,Simple numbers but challenging
45,101,Abstract,Basic,Simple numbers but challenging
46,U.S. 101,World Knowledge,Basic,Simple numbers but challenging
47,commonsense,Abstract,Basic,
48,happiness,Abstract,Basic,
49,hope,Abstract,Basic,
50,insight,Abstract,Basic,
51,inspiration,Abstract,Basic,
52,derision,Abstract,Basic,
53,Salvador Dalí,People,Basic,
54,a shiba inu,Animals,Basic,
55,a handpalm,People,Basic,
56,an espresso machine,Artifacts,Basic,
57,a propaganda poster,Artifacts,Basic,
58,The Oriental Pearl,World Knowledge,Basic,CogView
59,Ha Long Bay,World Knowledge,Basic,
60,A Vietnam map,World Knowledge,Basic,
61,A bowl of Pho,Food & Beverage,Basic,
62,a snail,Animals,Basic,
63,brain coral,Animals,Basic,
64,a walnut,Produce & Plants,Basic,
65,a capybara,Animals,Basic,
66,a baby penguin,Animals,Basic,
67,a cup of boba,Food & Beverage,Basic,
68,a photo of san francisco's golden gate bridge,World Knowledge,Basic,DALL-E
69,A picture of some food in the plate,Food & Beverage,Basic,VQ-Diffusion
70,a chair,Artifacts,Basic,
71,the Empire State Building,World Knowledge,Basic,
72,the Sydney Opera House,World Knowledge,Basic,
73,a hedgehog,Animals,Basic,
74,a corgi,Animals,Basic,
75,a robot,Artifacts,Basic,
76,robots,Artifacts,Basic,
77,a fall landscape,Outdoor Scenes,Basic,
78,a sunset,Outdoor Scenes,Basic,
79,a boat,Vehicles,Basic,
80,a fox,Animals,Basic,
81,a red cube,Illustrations,Basic,
82,a panda,Animals,Basic,
83,a space elevator,Artifacts,Basic,GLIDE
84,a city,Outdoor Scenes,Basic,
85,a fog,Outdoor Scenes,Basic,
86,a clock,Artifacts,Basic,
87,a phone,Artifacts,Basic,
88,food,Food & Beverage,Basic,
89,a store front,Outdoor Scenes,Basic,
90,an armchair,Artifacts,Basic,
91,a teapot,Artifacts,Basic,
92,an illustration of a teapot,Artifacts,Basic,DALL-E
93,a tiger,Animals,Basic,
94,a bench,Artifacts,Basic,
95,an orange,Produce & Plants,Basic,
96,a laptop,Artifacts,Basic,
97,an owl,Animals,Basic,
98,a train,Vehicles,Basic,
99,a cow,Animals,Basic,
100,a submarine,Vehicles,Basic,
101,a whale,Animals,Basic,
102,a t-shirt,Artifacts,Basic,
103,a bowl,Artifacts,Basic,
104,a flag,Artifacts,Basic,
105,a cat,Animals,Basic,
106,a towel,Artifacts,Basic,
107,a wall,Artifacts,Basic,
108,a car,Vehicles,Basic,
109,a giraffe,Animals,Basic,
110,an eagle,Animals,Basic,
111,a kangaroo,Animals,Basic,
112,a canal,Outdoor Scenes,Basic,
113,the grand canyon,World Knowledge,Basic,
114,lily pads,Produce & Plants,Basic,
115,a street,Outdoor Scenes,Basic,
116,a house,Outdoor Scenes,Basic,
117,a fish,Animals,Basic,
118,a city intersection,Outdoor Scenes,Basic,
119,a circle,Illustrations,Basic,
120,a red circle,Illustrations,Basic,
121,a box,Illustrations,Basic,
122,a yellow box,Illustrations,Basic,
123,a red box,Illustrations,Basic,
124,a sphere,Illustrations,Basic,
125,a red sphere,Illustrations,Basic,
126,a large blue box,Illustrations,Basic,
127,a blue metallic sphere,Illustrations,Basic,
128,a horse,Animals,Basic,
129,a pumpkin,Produce & Plants,Basic,
130,a sword,Artifacts,Basic,
131,a statue,Artifacts,Basic,
132,a logo,Illustrations,Basic,
133,a circular logo,Illustrations,Basic,
134,a coffee mug,Artifacts,Basic,
135,a pig,Animals,Basic,
136,a squirrel,Animals,Basic,
137,a hammer,Artifacts,Basic,
138,a screwdriver,Artifacts,Basic,
139,a handsaw,Artifacts,Basic,
140,a power drill,Artifacts,Basic,
141,a cocktail,Food & Beverage,Basic,
142,a margarita,Food & Beverage,Basic,
143,an avocado,Produce & Plants,Basic,
144,a kitchen,Indoor Scenes,Basic,
145,an iPhone case,Artifacts,Basic,
146,a coffee maker,Artifacts,Basic,
147,a banana,Produce & Plants,Basic,
148,a violin,Artifacts,Basic,
149,a room,Indoor Scenes,Basic,
150,a mountain,Outdoor Scenes,Basic,
151,a bird,Animals,Basic,
152,a TV,Artifacts,Basic,
153,a Christmas tree,Artifacts,Basic,
154,The Statue of Liberty,World Knowledge,Basic,
155,the Eiffel Tower,World Knowledge,Basic,
156,a zebra,Animals,Basic,
157,the city of London,World Knowledge,Basic,
158,a koi fish,Animals,Basic,
159,a pineapple,Produce & Plants,Basic,
160,a toaster,Artifacts,Basic,
161,a sign,Artifacts,Basic,
162,a red lego block,Artifacts,Basic,
163,teacup,Artifacts,Basic,
164,chair,Artifacts,Basic,
165,waterfall,Outdoor Scenes,Basic,
166,a pirate ship,Vehicles,Basic,
167,a dragon,Animals,Basic,
168,a present,Artifacts,Basic,
169,a bottle,Artifacts,Basic,
170,a book cover,Illustrations,Basic,
171,a sweatshirt,Artifacts,Basic,
172,matching socks,Artifacts,Basic,
173,cash,Artifacts,Basic,
174,a wood cabin,Indoor Scenes,Basic,
175,a clock tower,Artifacts,Basic,
176,a chimpanzee,Animals,Basic,
177,a hat,Artifacts,Basic,
178,sneakers,Artifacts,Basic,
179,a roast turkey,Food & Beverage,Basic,
180,a turkey,Animals,Basic,
181,a plate,Artifacts,Basic,
182,a ladder,Artifacts,Basic,
183,a Tyrannosaurus Rex,Animals,Basic,
184,a Stegasaurus,Animals,Basic,
185,a Triceratops,Animals,Basic,
186,a Styracosaurus,Animals,Basic,
187,a Diplodocus,Animals,Basic,
188,a yellow sticky note,Artifacts,Basic,
189,a ball,Artifacts,Basic,
190,red balls,Artifacts,Basic,
191,an ostrich,Animals,Basic,
192,a stone path,Outdoor Scenes,Basic,
193,a wooden deck,Outdoor Scenes,Basic,
194,an F1 race car,Vehicles,Basic,
195,a taxi,Vehicles,Basic,
196,a road,Outdoor Scenes,Basic,
197,a volcano,Outdoor Scenes,Basic,
198,a large open book,Artifacts,Basic,
199,a living room,Indoor Scenes,Basic,
200,an elephant,Animals,Basic,
201,a tree,Produce & Plants,Basic,
202,a dolphin,Animals,Basic,
203,a rowboat,Vehicles,Basic,
204,a crown,Artifacts,Basic,
205,a pick-up truck,Vehicles,Basic,
206,a key,Artifacts,Basic,
207,a goat,Animals,Basic,
208,a chest,Artifacts,Basic,
209,a coffee table,Artifacts,Basic,
210,toy cars,Artifacts,Basic,
211,a bookshelf,Artifacts,Basic,
212,the moon,Outdoor Scenes,Basic,
213,the Earth,Outdoor Scenes,Basic,
214,the International Space Station,World Knowledge,Basic,
215,the planet Jupiter,Outdoor Scenes,Basic,
216,a tornado,Outdoor Scenes,Basic,
217,a tidal wave,Outdoor Scenes,Basic,
218,a laptop screen,Artifacts,Basic,
219,an airplane,Vehicles,Basic,
220,a butterfly,Animals,Basic,
221,a lizard,Animals,Basic,
222,a turtle,Animals,Basic,
223,an octopus,Animals,Basic,
224,a book,Artifacts,Basic,
